"","summary"
"2029","03/05/2017: Assailants attacked military forces in Hadramawt governorate, Yemen. At least five soldiers were killed in the assault. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2030","03/19/2017: Assailants attacked a Hadrami Elite Forces camp in Adh Dhliaah district, Hadramawt, Yemen. In addition to an unknown number of assailant casualties, at least one militia member was injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2031","03/23/2017: Assailants fired a rocket-propelled grenade (RPG) at the deputy interior minister's vehicle in Aben, Abyan, Yemen. The minister's son was killed and three people were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2032","03/24/2017: Assailants raided a Yemeni Border Guards outpost in Akhashim, Hadramawt, Yemen. There were no reported casualties in the assault. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2033","03/27/2017: A suicide bomber detonated an explosives-laden vehicle and assailants stormed a government building in Lahij, Yemen. At least ten assailants and ten soldiers were killed and four people, including soldiers and civilians, were injured in the attack. Ansar Al-Sharia, a subgroup of Al-Qaida in the Arabian Peninsula (AQAP), claimed responsibility for the incident and stated that the attack was carried out in revenge for those killed in security operations."
"2034","04/09/2017: Assailants ambushed the vehicle of Colonel 'Abd-al-'Alim al-Jalil between Khabr al Maraqishah and Ahwar, Abyan, Yemen. Al-Jalil, a military reconnaissance officer, was not harmed; however, one soldier was injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2035","04/13/2017: Assailants opened fire on a Hizam Brigade vehicle near Wadea, Abyan, Yemen. One Hizam Brigade officer was killed and another was injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2036","04/29/2017: Assailants attacked a military checkpoint in Lahij governorate, Yemen. One soldier was killed and eight soldiers were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2037","05/10/2017: A suicide bomber detonated an explosives-laden vehicle and assailants opened fire at a military checkpoint in Duaan, Hadramawt, Yemen. At least four people, including three assailants and one soldier, were killed and nine people, including three assailants, three soldiers, and three civilians, were injured in the attack. No group claimed responsibility; however, sources attributed the incident to Ansar Al-Sharia, a subgroup of Al-Qaida in the Arabian Peninsula (AQAP)."
"2038","06/07/2017: An explosives-laden motorcycle detonated targeting the convoy of Colonel Abdullah Al Fadheli, the Abyan governorate security director, near Dowfas, Abyan, Yemen. Two bodyguards were killed and at least two people, including Colonel Al Fadheli and his brother, were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2039","06/12/2017: Assailants detonated two explosives-laden vehicles and opened fire at a military camp near Baddah, Hadramawt, Yemen. At least 12 people, including ten assailants and two soldiers, were killed in the ensuing clash. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident."
"2040","06/28/2017: Assailants opened fire on military personnel in Qatn, Hadramawt, Yemen. Three soldiers were killed in the attack. No group claimed responsibility for the incident; however, sources suspected that Al-Qaida in the Arabian Peninsula (AQAP) carried out the attack."
"2041","06/28/2017: Assailants abducted a Presidential Defense Forces officer from Abyan governorate, Yemen. The outcome of the kidnapping is unknown. No group claimed responsibility for the incident; however, sources suspected that Al-Qaida in the Arabian Peninsula (AQAP) carried out the attack."
"2042","07/13/2017: Assailants opened fire at a National Bank branch in Aden, Adan, Yemen. Three security guards were killed and five people, including the bank manager, were injured in the attack. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident."
"2043","07/16/2017: Assailants opened fire on a military checkpoint near Ataq, Shabwah, Yemen. Five soldiers were killed and three soldiers were injured in the assault. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2044","07/17/2017: A suicide bomber detonated an explosives-laden vehicle targeting a military base in Balhaf, Shabwah, Yemen. In addition to the assailant, eight soldiers were killed and five soldiers were injured in the blast. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the attack."
"2045","07/25/2017: Assailants opened fire on a Yemeni army vehicle in Adh Dhliaah district, Hadramawt, Yemen. Three soldiers were killed in the attack. No group claimed responsibility; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2046","07/29/2017: Assailants opened fire and killed Colonel Nasr al-Jaari in Lawdar District, Abyan, Yemen. No group claimed responsibility for the incident; however, sources attributed the attack to Ansar Al-Sharia, a subgroup of Al-Qaida in the Arabian Peninsula (AQAP)."
"2047","08/01/2017: Assailants armed with grenades and firearms attacked a Military of Yemen checkpoint in Ahwar, Abyan, Yemen. At least three soldiers were killed in the assault. No group claimed responsibility; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2048","08/02/2017: At least one suicide bomber detonated an explosive-laden vehicle at a Military of Yemen checkpoint in Rudum district, Shabwah, Yemen. Following the blast, additional assailants then stormed the checkpoint. At least six people, including five soldiers and one assailant, were killed and eight other soldiers and unknown number of assailants were injured in the ensuing clash. An unknown number of soldiers were also abducted and their whereabouts are unknown. No group claimed responsibility; however, sources attributed the attack to the Ansar Al-Sharia faction of Al-Qaida in the Arabian Peninsula (AQAP)."
"2049","08/02/2017: Assailants detonated an explosive device at a police station in Shaab Ghabrin, Abyan, Yemen. There were no reported casualties in the blast. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the attack."
"2050","08/07/2017: Assailants fired rockets at a Yemeni Coast Guard base in Shoqra, Abyan, Yemen. An unknown number of soldiers were injured in the attack. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident."
"2051","08/08/2017: A suicide bomber detonated at a Yemeni Army headquarters in Lawdar district, Abyan, Yemen. Following the blast, additional assailants armed with projectiles and firearms attacked the headquarters. In addition to the bomber, at least three soldiers were killed and five other soldiers were injured in the blast. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the attack."
"2052","08/14/2017: An explosive device detonated against a civilian vehicle at a market in Qatabah, Ad Dali, Yemen. At least nine people were killed and four people were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP) and stated that the explosive device may have been intended to target security forces."
"2053","08/14/2017: Assailants opened fire on General Ahmad Al Shbeili in Lawdar, Abyan, Yemen. Al Shbeili, a Yemeni Army officer, was injured while his son was killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2054","08/17/2017: An explosive device detonated outside the residence of Brigadier General Nasir Abd Rabbu al-Damji in Lawdar, Abyan, Yemen. There were no reported casualties in the attack. Ansar al-Sharia, a subgroup of Al-Qaida in the Arab Peninsula (AQAP), claimed responsibility for the incident."
"2055","08/23/2017: Assailants opened fire in Am Surrah, Lawdar, Abyan, Yemen. At least one popular resistance committee member was killed and two people were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
"2056","09/05/2017: Assailants opened fire on Abdallah Umar Barashid, an off-duty Emirati soldier, in Labnat Barashid, Hadramawt, Yemen. Barashid was killed and another person was injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP)."
